Epoch,Training RMSE,Validation RMSE,Hidden Size,Number of Layers,Learning Rate,Sequence Length,Batch Size
350,0.1479,0.4163,64,1,5e-05,60,32
400,0.1421,0.4128,64,1,5e-05,60,32
450,0.1351,0.4169,64,1,5e-05,60,32
500,0.1297,0.4185,64,1,5e-05,60,32
550,0.1256,0.4207,64,1,5e-05,60,32
600,0.1183,0.4251,64,1,5e-05,60,32
50,0.2808,0.3944,64,1,0.0001,60,32
100,0.2022,0.4297,64,1,0.0001,60,32
150,0.1720,0.4158,64,1,0.0001,60,32
200,0.1443,0.4076,64,1,0.0001,60,32
250,0.1309,0.4169,64,1,0.0001,60,32
300,0.1185,0.4185,64,1,0.0001,60,32
350,0.1128,0.4264,64,1,0.0001,60,32
400,0.0997,0.4332,64,1,0.0001,60,32
450,0.0970,0.4445,64,1,0.0001,60,32
500,0.0925,0.4614,64,1,0.0001,60,32
550,0.0887,0.4778,64,1,0.0001,60,32
600,0.0870,0.4848,64,1,0.0001,60,32
50,0.1868,0.4492,64,1,0.0003,60,32
100,0.1443,0.4212,64,1,0.0003,60,32
150,0.1271,0.4313,64,1,0.0003,60,32
200,0.1019,0.4134,64,1,0.0003,60,32
250,0.0952,0.4027,64,1,0.0003,60,32
300,0.0866,0.3998,64,1,0.0003,60,32
350,0.0969,0.3919,64,1,0.0003,60,32
400,0.0746,0.3967,64,1,0.0003,60,32
450,0.0764,0.3987,64,1,0.0003,60,32
500,0.0714,0.4099,64,1,0.0003,60,32
550,0.0681,0.4083,64,1,0.0003,60,32
600,0.0706,0.4105,64,1,0.0003,60,32
50,0.1955,0.4103,64,1,0.0005,60,32
100,0.1178,0.4604,64,1,0.0005,60,32
150,0.1117,0.4752,64,1,0.0005,60,32
200,0.0978,0.4629,64,1,0.0005,60,32
250,0.0880,0.4542,64,1,0.0005,60,32
300,0.0783,0.4600,64,1,0.0005,60,32
350,0.0885,0.4696,64,1,0.0005,60,32
400,0.0818,0.4810,64,1,0.0005,60,32
450,0.0722,0.4720,64,1,0.0005,60,32
500,0.0758,0.4634,64,1,0.0005,60,32
550,0.0681,0.4675,64,1,0.0005,60,32
600,0.0700,0.4752,64,1,0.0005,60,32
50,0.1438,0.4059,64,1,0.001,60,32
100,0.1315,0.4390,64,1,0.001,60,32
150,0.1133,0.4435,64,1,0.001,60,32
